Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/15 15:00,2023/1/15 16:00,4259
2023/1/15 16:00,2023/1/15 17:00,4256
2023/1/15 17:00,2023/1/15 18:00,4254
2023/1/15 18:00,2023/1/15 19:00,4298
2023/1/15 19:00,2023/1/15 20:00,4299
2023/1/15 20:00,2023/1/15 21:00,4282
2023/1/15 21:00,2023/1/15 22:00,4272
2023/1/15 22:00,2023/1/15 23:00,4279
2023/1/15 23:00,2023/1/16 0:00,4278
2023/1/16 0:00,2023/1/16 1:00,4231
2023/1/16 1:00,2023/1/16 2:00,4117
2023/1/16 2:00,2023/1/16 3:00,4000
2023/1/16 3:00,2023/1/16 4:00,4024
2023/1/16 4:00,2023/1/16 5:00,4024
2023/1/16 5:00,2023/1/16 6:00,3961
2023/1/16 6:00,2023/1/16 7:00,3814
2023/1/16 7:00,2023/1/16 8:00,3655
2023/1/16 8:00,2023/1/16 9:00,3455
2023/1/16 9:00,2023/1/16 10:00,3416
2023/1/16 10:00,2023/1/16 11:00,3474
2023/1/16 11:00,2023/1/16 12:00,3414
2023/1/16 12:00,2023/1/16 13:00,3300
2023/1/16 13:00,2023/1/16 14:00,3445
2023/1/16 14:00,2023/1/16 15:00,3617
2023/1/16 15:00,2023/1/16 16:00,3556
2023/1/16 16:00,2023/1/16 17:00,3438
2023/1/16 17:00,2023/1/16 18:00,3260
2023/1/16 18:00,2023/1/16 19:00,3300
2023/1/16 19:00,2023/1/16 20:00,3487
2023/1/16 20:00,2023/1/16 21:00,3602
2023/1/16 21:00,2023/1/16 22:00,3616
2023/1/16 22:00,2023/1/16 23:00,3480
2023/1/16 23:00,2023/1/17 0:00,3316
2023/1/17 0:00,2023/1/17 1:00,3283
2023/1/17 1:00,2023/1/17 2:00,3201
2023/1/17 2:00,2023/1/17 3:00,3062
2023/1/17 3:00,2023/1/17 4:00,2770
2023/1/17 4:00,2023/1/17 5:00,2560
2023/1/17 5:00,2023/1/17 6:00,2278
2023/1/17 6:00,2023/1/17 7:00,2190
2023/1/17 7:00,2023/1/17 8:00,2195
2023/1/17 8:00,2023/1/17 9:00,2046
2023/1/17 9:00,2023/1/17 10:00,1949
2023/1/17 10:00,2023/1/17 11:00,2035
2023/1/17 11:00,2023/1/17 12:00,2152
2023/1/17 12:00,2023/1/17 13:00,2169
2023/1/17 13:00,2023/1/17 14:00,2172
2023/1/17 14:00,2023/1/17 15:00,2559
2023/1/17 15:00,2023/1/17 16:00,3026
2023/1/17 16:00,2023/1/17 17:00,3410
2023/1/17 17:00,2023/1/17 18:00,3451
2023/1/17 18:00,2023/1/17 19:00,3525
2023/1/17 19:00,2023/1/17 20:00,3621
2023/1/17 20:00,2023/1/17 21:00,3676
2023/1/17 21:00,2023/1/17 22:00,3724
2023/1/17 22:00,2023/1/17 23:00,3714
2023/1/17 23:00,2023/1/18 0:00,3638
2023/1/18 0:00,2023/1/18 1:00,3643
2023/1/18 1:00,2023/1/18 2:00,3630
2023/1/18 2:00,2023/1/18 3:00,3668
2023/1/18 3:00,2023/1/18 4:00,3645
2023/1/18 4:00,2023/1/18 5:00,3522
2023/1/18 5:00,2023/1/18 6:00,3397
2023/1/18 6:00,2023/1/18 7:00,3300
2023/1/18 7:00,2023/1/18 8:00,3151
2023/1/18 8:00,2023/1/18 9:00,3068
2023/1/18 9:00,2023/1/18 10:00,3110
2023/1/18 10:00,2023/1/18 11:00,3085
2023/1/18 11:00,2023/1/18 12:00,3077
2023/1/18 12:00,2023/1/18 13:00,3160
2023/1/18 13:00,2023/1/18 14:00,3306
2023/1/18 14:00,2023/1/18 15:00,3411
2023/1/18 15:00,2023/1/18 16:00,3547
2023/1/18 16:00,2023/1/18 17:00,3519
2023/1/18 17:00,2023/1/18 18:00,3303
2023/1/18 18:00,2023/1/18 19:00,3343
2023/1/18 19:00,2023/1/18 20:00,3420
2023/1/18 20:00,2023/1/18 21:00,3212
2023/1/18 21:00,2023/1/18 22:00,2774
2023/1/18 22:00,2023/1/18 23:00,2408
2023/1/18 23:00,2023/1/19 0:00,2248
2023/1/19 0:00,2023/1/19 1:00,2089
2023/1/19 1:00,2023/1/19 2:00,1624
2023/1/19 2:00,2023/1/19 3:00,1128
2023/1/19 3:00,2023/1/19 4:00,818
2023/1/19 4:00,2023/1/19 5:00,654
2023/1/19 5:00,2023/1/19 6:00,619
2023/1/19 6:00,2023/1/19 7:00,534
2023/1/19 7:00,2023/1/19 8:00,490
2023/1/19 8:00,2023/1/19 9:00,497
2023/1/19 9:00,2023/1/19 10:00,490
2023/1/19 10:00,2023/1/19 11:00,579
2023/1/19 11:00,2023/1/19 12:00,829
