Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/23 9:00,2023/1/23 10:00,22.6
2023/1/23 10:00,2023/1/23 11:00,26.5
2023/1/23 11:00,2023/1/23 12:00,26.9
2023/1/23 12:00,2023/1/23 13:00,17
2023/1/23 13:00,2023/1/23 14:00,0.8
2023/1/23 14:00,2023/1/23 15:00,0
2023/1/23 15:00,2023/1/23 16:00,0
2023/1/23 16:00,2023/1/23 17:00,0
2023/1/23 17:00,2023/1/23 18:00,0
2023/1/23 18:00,2023/1/23 19:00,0
2023/1/23 19:00,2023/1/23 20:00,0
2023/1/23 20:00,2023/1/23 21:00,0
2023/1/23 21:00,2023/1/23 22:00,0
2023/1/23 22:00,2023/1/23 23:00,0
2023/1/23 23:00,2023/1/24 0:00,0
2023/1/24 0:00,2023/1/24 1:00,0
2023/1/24 1:00,2023/1/24 2:00,0
2023/1/24 2:00,2023/1/24 3:00,0
2023/1/24 3:00,2023/1/24 4:00,0
2023/1/24 4:00,2023/1/24 5:00,0
2023/1/24 5:00,2023/1/24 6:00,0
2023/1/24 6:00,2023/1/24 7:00,0
2023/1/24 7:00,2023/1/24 8:00,0
2023/1/24 8:00,2023/1/24 9:00,11.7
2023/1/24 9:00,2023/1/24 10:00,26.7
2023/1/24 10:00,2023/1/24 11:00,33.5
2023/1/24 11:00,2023/1/24 12:00,29.9
2023/1/24 12:00,2023/1/24 13:00,23.2
2023/1/24 13:00,2023/1/24 14:00,1.8
2023/1/24 14:00,2023/1/24 15:00,0
2023/1/24 15:00,2023/1/24 16:00,0
